Pre/Suf	Original	Fists																							
Prefix	Adds (12-19) to (22-32) Physical Damage to Attacks	Attacks Gain (21-23)% of Damage as Extra Physical Damage																							
Prefix	(20-25)% increased Magnitude of Ailments you inflict	"+(10-25) to Ailment Threshold
(10-20)% increased Elemental Ailment Threshold"																							
Prefix	(26-32)% increased Magnitude of Ailments you inflict	"+(26-40) to Ailment Threshold
(21-35)% increased Elemental Ailment Threshold"																							
Prefix	(20-29)% increased Magnitude of Bleeding you inflict	Enemies you kill have a (10-30)% chance to explode, dealing a tenth of their maximum Life as Physical damage																							
Prefix	(30-42)% increased Magnitude of Bleeding you inflict	Enemies you kill have a (31-50)% chance to explode, dealing a tenth of their maximum Life as Physical damage																							
Prefix	Damaging Ailments deal damage (8-13)% faster	"Enemies take (5-10)% increased Damage for each Elemental Ailment type among
your Ailments on them"																							
Prefix	Damaging Ailments deal damage (14-20)% faster	"Enemies take (11-15)% increased Damage for each Elemental Ailment type among
your Ailments on them"																							
Prefix	(20-34)% increased Ignite Magnitude	"Enemies killed by your Hits are destroyed
Burning Enemies you kill have a (10-30)% chance to Explode, dealing a
tenth of their maximum Life as Fire Damage"																							
Prefix	(35-50)% increased Ignite Magnitude	"Enemies killed by your Hits are destroyed
Burning Enemies you kill have a (31-50)% chance to Explode, dealing a
tenth of their maximum Life as Fire Damage"																							
Prefix	(20-29)% increased Magnitude of Poison you inflict	Enemies you kill have a (9-14)% chance to explode, dealing a quarter of their maximum Life as Chaos damage																							
Prefix	(30-42)% increased Magnitude of Poison you inflict	Enemies you kill have a (15-20)% chance to explode, dealing a quarter of their maximum Life as Chaos damage																							
Prefix	+(11-32) to Accuracy Rating	(12-14)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(33-60) to Accuracy Rating	(15-17)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(61-84) to Accuracy Rating	(18-20)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(85-123) to Accuracy Rating	(21-23)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(124-167) to Accuracy Rating	(24-26)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(168-236) to Accuracy Rating	(27-29)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(237-346) to Accuracy Rating	(30-32)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(347-450) to Accuracy Rating	(33-35)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(451-550) to Accuracy Rating	(36-38)% chance to Blind Enemies on Hit with Attacks																							
Prefix	+(10-19) to maximum Life	5% less damage taken while on Low Life																							
Prefix	+(150-174) to maximum Life	14% less damage taken while on Low Life																							
Prefix	+(175-189) to maximum Life	15% less damage taken while on Low Life																							
Prefix	+(190-199) to maximum Life	16% less damage taken while on Low Life																							
Prefix	+(200-214) to maximum Life	17% less damage taken while on Low Life																							
Prefix	+(20-29) to maximum Life	6% less damage taken while on Low Life																							
Prefix	+(30-39) to maximum Life	7% less damage taken while on Low Life																							
Prefix	+(40-59) to maximum Life	8% less damage taken while on Low Life																							
Prefix	+(60-69) to maximum Life	9% less damage taken while on Low Life																							
Prefix	+(70-84) to maximum Life	10% less damage taken while on Low Life																							
Prefix	+(85-99) to maximum Life	11% less damage taken while on Low Life																							
Prefix	+(100-119) to maximum Life	12% less damage taken while on Low Life																							
Prefix	+(120-149) to maximum Life	13% less damage taken while on Low Life																							
Prefix	+(10-14) to maximum Mana	(10-11)% more Attack damage while on Low Mana																							
Prefix	+(15-24) to maximum Mana	(12-13)% more Attack damage while on Low Mana																							
Prefix	+(25-34) to maximum Mana	(14-15)% more Attack damage while on Low Mana																							
Prefix	+(35-54) to maximum Mana	(16-17)% more Attack damage while on Low Mana																							
Prefix	+(55-64) to maximum Mana	(18-19)% more Attack damage while on Low Mana																							
Prefix	+(65-79) to maximum Mana	(20-21)% more Attack damage while on Low Mana																							
Prefix	+(80-89) to maximum Mana	(22-23)% more Attack damage while on Low Mana																							
Prefix	+(90-104) to maximum Mana	(24-25)% more Attack damage while on Low Mana																							
Prefix	+(105-124) to maximum Mana	(26-27)% more Attack damage while on Low Mana																							
Prefix	"+(9-16) to Armour
+(5-8) to maximum Energy Shield"	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(17-46) to Armour
+(9-15) to maximum Energy Shield"	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(47-71) to Armour
+(16-21) to maximum Energy Shield"	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(72-85) to Armour
+(22-25) to maximum Energy Shield"	"Has +4 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(9-16) to Armour
+(6-10) to Evasion Rating"	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(17-46) to Armour
+(11-41) to Evasion Rating"	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(47-71) to Armour
+(42-64) to Evasion Rating"	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(72-85) to Armour
+(65-78) to Evasion Rating"	"Has +4 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(6-10) to Evasion Rating
+(5-8) to maximum Energy Shield"	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(11-41) to Evasion Rating
+(9-15) to maximum Energy Shield"	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(42-64) to Evasion Rating
+(16-21) to maximum Energy Shield"	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"+(65-78) to Evasion Rating
+(22-25) to maximum Energy Shield"	"Has +4 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	(15-26)% increased Armour and Energy Shield	(7-8)% more Global Evasion Rating and Energy Shield																							
Prefix	(27-42)% increased Armour and Energy Shield	(9-10)% more Global Evasion Rating and Energy Shield																							
Prefix	(43-55)% increased Armour and Energy Shield	(11-12)% more Global Evasion Rating and Energy Shield																							
Prefix	(56-67)% increased Armour and Energy Shield	(13-14)% more Global Evasion Rating and Energy Shield																							
Prefix	(68-79)% increased Armour and Energy Shield	(15-16)% more Global Evasion Rating and Energy Shield																							
Prefix	(80-91)% increased Armour and Energy Shield	(17-18)% more Global Evasion Rating and Energy Shield																							
Prefix	(92-100)% increased Armour and Energy Shield	(19-20)% more Global Evasion Rating and Energy Shield																							
Prefix	"(6-13)% increased Armour and Energy Shield
+(7-10) to maximum Life"	3% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(14-20)% increased Armour and Energy Shield
+(11-19) to maximum Life"	4% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(21-26)% increased Armour and Energy Shield
+(20-25) to maximum Life"	5% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(27-32)% increased Armour and Energy Shield
+(26-32) to maximum Life"	6% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(33-38)% increased Armour and Energy Shield
+(33-41) to maximum Life"	7% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(39-42)% increased Armour and Energy Shield
+(42-49) to maximum Life"	8% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	(15-26)% increased Armour and Evasion	(7-8)% more Global Evasion Rating and Energy Shield																							
Prefix	(27-42)% increased Armour and Evasion	(9-10)% more Global Evasion Rating and Energy Shield																							
Prefix	(43-55)% increased Armour and Evasion	(11-12)% more Global Evasion Rating and Energy Shield																							
Prefix	(56-67)% increased Armour and Evasion	(13-14)% more Global Evasion Rating and Energy Shield																							
Prefix	(68-79)% increased Armour and Evasion	(15-16)% more Global Evasion Rating and Energy Shield																							
Prefix	(80-91)% increased Armour and Evasion	(17-18)% more Global Evasion Rating and Energy Shield																							
Prefix	(92-100)% increased Armour and Evasion	(19-20)% more Global Evasion Rating and Energy Shield																							
Prefix	(15-26)% increased Armour, Evasion and Energy Shield	(7-8)% more Global Evasion Rating and Energy Shield																							
Prefix	(27-42)% increased Armour, Evasion and Energy Shield	(9-10)% more Global Evasion Rating and Energy Shield																							
Prefix	(43-55)% increased Armour, Evasion and Energy Shield	(11-12)% more Global Evasion Rating and Energy Shield																							
Prefix	(56-67)% increased Armour, Evasion and Energy Shield	(13-14)% more Global Evasion Rating and Energy Shield																							
Prefix	(68-79)% increased Armour, Evasion and Energy Shield	(15-16)% more Global Evasion Rating and Energy Shield																							
Prefix	(80-91)% increased Armour, Evasion and Energy Shield	(17-18)% more Global Evasion Rating and Energy Shield																							
Prefix	(92-100)% increased Armour, Evasion and Energy Shield	(19-20)% more Global Evasion Rating and Energy Shield																							
Prefix	(101-110)% increased Armour, Evasion and Energy Shield	(21-22)% more Global Evasion Rating and Energy Shield																							
Prefix	"(6-13)% increased Armour and Evasion
+(7-10) to maximum Life"	3% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(14-20)% increased Armour and Evasion
+(11-19) to maximum Life"	4% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(21-26)% increased Armour and Evasion
+(20-25) to maximum Life"	5% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(27-32)% increased Armour and Evasion
+(26-32) to maximum Life"	6% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(33-38)% increased Armour and Evasion
+(33-41) to maximum Life"	7% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(39-42)% increased Armour and Evasion
+(42-49) to maximum Life"	8% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(6-13)% increased Armour
+(7-10) to maximum Life"	3% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(14-20)% increased Armour
+(11-19) to maximum Life"	4% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(21-26)% increased Armour
+(20-25) to maximum Life"	5% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(27-32)% increased Armour
+(26-32) to maximum Life"	6% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(33-38)% increased Armour
+(33-41) to maximum Life"	7% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(39-42)% increased Armour
+(42-49) to maximum Life"	8% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	+(10-17) to maximum Energy Shield	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(18-24) to maximum Energy Shield	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(25-30) to maximum Energy Shield	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(31-35) to maximum Energy Shield	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(36-41) to maximum Energy Shield	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(42-47) to maximum Energy Shield	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(48-60) to maximum Energy Shield	"Has +4 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	"(6-13)% increased Energy Shield
+(7-10) to maximum Life"	3% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(14-20)% increased Energy Shield
+(11-19) to maximum Life"	4% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(21-26)% increased Energy Shield
+(20-25) to maximum Life"	5% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(27-32)% increased Energy Shield
+(26-32) to maximum Life"	6% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(33-38)% increased Energy Shield
+(33-41) to maximum Life"	7% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(39-42)% increased Energy Shield
+(42-49) to maximum Life"	8% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	(15-26)% increased Energy Shield	(7-8)% more Global Evasion Rating and Energy Shield																							
Prefix	(27-42)% increased Energy Shield	(9-10)% more Global Evasion Rating and Energy Shield																							
Prefix	(43-55)% increased Energy Shield	(11-12)% more Global Evasion Rating and Energy Shield																							
Prefix	(56-67)% increased Energy Shield	(13-14)% more Global Evasion Rating and Energy Shield																							
Prefix	(68-79)% increased Energy Shield	(15-16)% more Global Evasion Rating and Energy Shield																							
Prefix	(80-91)% increased Energy Shield	(17-18)% more Global Evasion Rating and Energy Shield																							
Prefix	(92-100)% increased Energy Shield	(19-20)% more Global Evasion Rating and Energy Shield																							
Prefix	(15-26)% increased Evasion and Energy Shield	(7-8)% more Global Evasion Rating and Energy Shield																							
Prefix	(27-42)% increased Evasion and Energy Shield	(9-10)% more Global Evasion Rating and Energy Shield																							
Prefix	(43-55)% increased Evasion and Energy Shield	(11-12)% more Global Evasion Rating and Energy Shield																							
Prefix	(56-67)% increased Evasion and Energy Shield	(13-14)% more Global Evasion Rating and Energy Shield																							
Prefix	(68-79)% increased Evasion and Energy Shield	(15-16)% more Global Evasion Rating and Energy Shield																							
Prefix	(80-91)% increased Evasion and Energy Shield	(17-18)% more Global Evasion Rating and Energy Shield																							
Prefix	(92-100)% increased Evasion and Energy Shield	(19-20)% more Global Evasion Rating and Energy Shield																							
Prefix	"(6-13)% increased Evasion and Energy Shield
+(7-10) to maximum Life"	3% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(14-20)% increased Evasion and Energy Shield
+(11-19) to maximum Life"	4% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(21-26)% increased Evasion and Energy Shield
+(20-25) to maximum Life"	5% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(27-32)% increased Evasion and Energy Shield
+(26-32) to maximum Life"	6% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(33-38)% increased Evasion and Energy Shield
+(33-41) to maximum Life"	7% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(39-42)% increased Evasion and Energy Shield
+(42-49) to maximum Life"	8% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(6-13)% increased Evasion Rating
+(7-10) to maximum Life"	3% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(14-20)% increased Evasion Rating
+(11-19) to maximum Life"	4% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(21-26)% increased Evasion Rating
+(20-25) to maximum Life"	5% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(27-32)% increased Evasion Rating
+(26-32) to maximum Life"	6% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(33-38)% increased Evasion Rating
+(33-41) to maximum Life"	7% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	"(39-42)% increased Evasion Rating
+(42-49) to maximum Life"	8% of Damage Taken Recouped as Life, Mana and Energy Shield																							
Prefix	+(11-18) to Evasion Rating	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(19-46) to Evasion Rating	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(47-66) to Evasion Rating	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(67-87) to Evasion Rating	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(88-116) to Evasion Rating	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(117-146) to Evasion Rating	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(147-176) to Evasion Rating	"Has +4 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	(15-26)% increased Evasion Rating	(7-8)% more Global Evasion Rating and Energy Shield																							
Prefix	(27-42)% increased Evasion Rating	(9-10)% more Global Evasion Rating and Energy Shield																							
Prefix	(43-55)% increased Evasion Rating	(11-12)% more Global Evasion Rating and Energy Shield																							
Prefix	(56-67)% increased Evasion Rating	(13-14)% more Global Evasion Rating and Energy Shield																							
Prefix	(68-79)% increased Evasion Rating	(15-16)% more Global Evasion Rating and Energy Shield																							
Prefix	(80-91)% increased Evasion Rating	(17-18)% more Global Evasion Rating and Energy Shield																							
Prefix	(92-100)% increased Evasion Rating	(19-20)% more Global Evasion Rating and Energy Shield																							
Prefix	+(16-27) to Armour	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(28-56) to Armour	"Has +1 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(57-77) to Armour	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(78-98) to Armour	"Has +2 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(99-127) to Armour	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(128-159) to Armour	"Has +3 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	+(160-190) to Armour	"Has +4 to Evasion Rating per player level
Has +1 to maximum Energy Shield per player level"																							
Prefix	(15-26)% increased Armour	(7-8)% more Global Evasion Rating and Energy Shield																							
Prefix	(27-42)% increased Armour	(9-10)% more Global Evasion Rating and Energy Shield																							
Prefix	(43-55)% increased Armour	(11-12)% more Global Evasion Rating and Energy Shield																							
Prefix	(56-67)% increased Armour	(13-14)% more Global Evasion Rating and Energy Shield																							
Prefix	(68-79)% increased Armour	(15-16)% more Global Evasion Rating and Energy Shield																							
Prefix	(80-91)% increased Armour	(17-18)% more Global Evasion Rating and Energy Shield																							
Prefix	(92-100)% increased Armour	(19-20)% more Global Evasion Rating and Energy Shield																							
Prefix	(25-50)% chance to Pierce an Enemy	Projectiles Pierce an additional Target																							
Prefix	(15-24)% increased Effect of your Mark Skills	(32-46)% increased Critical Hit Chance against Marked Enemies																							
Prefix	(25-39)% increased Effect of your Mark Skills	(47-61)% increased Critical Hit Chance against Marked Enemies																							
Prefix	(11-20)% increased Projectile Damage	Melee Attacks fire an additional Projectile																							
Prefix	(21-30)% increased Projectile Damage	Melee Attacks fire 2 additional Projectiles																							
Prefix	(31-40)% increased Projectile Damage	Melee Attacks fire 3 additional Projectiles																							
Prefix	(11-20)% increased Projectile Speed	(1-2)% increased Projectile Damage per Power Charge																							
Prefix	(21-30)% increased Projectile Speed	(3-4)% increased Projectile Damage per Power Charge																							
Prefix	(31-40)% increased Projectile Speed	(5-6)% increased Projectile Damage per Power Charge																							
Prefix	(20-40)% increased effect of Arcane Surge on you	Gain (16-24) Life per Enemy Hit with Attacks if you have dealt a Critical Hit Recently																							
Prefix	Meta Skills gain 25% increased Energy while on Full Mana	(25-45)% of Damage taken Recouped as Mana																							
Prefix	25% increased Mana Cost Efficiency	(15-40)% reduced Mana Cost of Attacks																							
Prefix	Leech (4-6)% of Physical Attack Damage as Mana	Recover (2-6)% of your maximum Mana when an Enemy dies in your Presence																							
Prefix	(10-15)% of Maximum Life Converted to Energy Shield	(20-30)% increased Attack Damage while on Low Life																							
Prefix	(10-20)% increased maximum Mana	"+(36-42) to maximum Mana
(15-35)% increased Attack Damage"																							
Prefix	(20-30)% increased Cost Efficiency	Non-Channelling Skills Cost (-8--3) Mana																							
Prefix	(25-50)% of Spell Mana Cost Converted to Life Cost	Attacks have added Physical damage equal to (1-3)% of maximum Life																							
Suffix	+(13-17)% to Fire and Chaos Resistances	"+(2-3)% to Maximum Fire Resistance
+(13-17)% to Chaos Resistance"																							
Suffix	+(9-15) to Strength and Intelligence	(7-9)% increased Strength and Intelligence																							
Suffix	+(13-17)% to Cold and Chaos Resistances	"+(2-3)% to Maximum Cold Resistance
+(13-17)% to Chaos Resistance"																							
Suffix	+(9-15) to Dexterity and Intelligence	(7-9)% increased Dexterity and Intelligence																							
Suffix	+(13-17)% to Lightning and Chaos Resistances	"+(2-3)% to Maximum Lightning Resistance
+(13-17)% to Chaos Resistance"																							
Suffix	+(9-15) to Strength and Dexterity	(7-9)% increased Strength and Dexterity																							
Suffix	(6-10)% increased Mana Cost Efficiency	(6-10)% increased Reservation Efficiency of Skills																							
Suffix	(12-20)% increased Area of Effect of Curses	Mark Skills have (15-25)% increased Use Speed																							
Suffix	(10-20)% chance to Daze on Hit	Gain (11-15)% of Physical Damage as Extra Cold Damage against Dazed Enemies																							
Suffix	(10-20)% increased Immobilisation buildup	(26-35)% increased Damage against Immobilised Enemies																							
Suffix	(8-15)% of Leech is Instant	Life Leech can Overflow Maximum Life																							
Suffix	(10-15)% chance to Gain Arcane Surge when you deal a Critical Hit	(5-10)% chance to gain a Power Charge on Critical Hit																							
Suffix	(8-15)% increased Cast Speed when on Full Life	(17-23)% increased Attack Speed when on Full Life																							
Suffix	(10-20)% increased Magnitude of Ailments you inflict	(20-35)% increased Magnitude of Damaging Ailments you inflict with Critical Hits																							
Suffix	(20-30)% increased chance to inflict Bleeding	Chance to inflict Bleeding is calculated from your base chance to Poison instead																							
Suffix	(8-12)% increased Skill Speed if you've consumed a Frenzy Charge Recently	(13-17)% increased Attack Speed if you haven't been Hit Recently																							
Suffix	(15-25)% chance for Attack Hits to apply Incision	Attack Hits Aggravate any Bleeding on targets which is older than (3-4) seconds																							
Suffix	(20-30)% increased chance to Poison	Chance to Poison is calculated from your base chance to inflict Bleeding instead																							
Suffix	(10-15)% increased Area of Effect for Attacks	1% increased Area of Effect for Attacks per 10 Intelligence																							
Suffix	(9-12)% increased Cast Speed	(10-30)% chance to gain a Power Charge when you Stun																							
Suffix	(20-25)% increased Duration of Damaging Ailments on Enemies	(15-25)% increased Magnitude of Damaging Ailments you inflict with Critical Hits																							
Suffix	Damage Penetrates (9-15)% Elemental Resistances	+(20-30)% to all Elemental Resistances																							
Suffix	Remnants can be collected from (35-50)% further away	(17-23)% chance for Remnants you pick up to count as picking up an additional Remnant																							
Suffix	+(14-19)% of Armour also applies to Elemental Damage	+(10-12)% to all Elemental Resistances																							
Suffix	+(20-25)% of Armour also applies to Elemental Damage	+(13-15)% to all Elemental Resistances																							
Suffix	+(26-31)% of Armour also applies to Elemental Damage	+(16-18)% to all Elemental Resistances																							
Suffix	+(32-37)% of Armour also applies to Elemental Damage	+(19-21)% to all Elemental Resistances																							
Suffix	+(38-43)% of Armour also applies to Elemental Damage	+(22-24)% to all Elemental Resistances																							
Suffix	+(4-7)% to Chaos Resistance	"+1% to Maximum Chaos Resistance
+(6-9)% to Chaos Resistance"																							
Suffix	+(8-11)% to Chaos Resistance	"+1% to Maximum Chaos Resistance
+(10-13)% to Chaos Resistance"																							
Suffix	+(12-15)% to Chaos Resistance	"+1% to Maximum Chaos Resistance
+(14-17)% to Chaos Resistance"																							
Suffix	+(16-19)% to Chaos Resistance	"+1% to Maximum Chaos Resistance
+(18-21)% to Chaos Resistance"																							
Suffix	+(20-23)% to Chaos Resistance	"+1% to Maximum Chaos Resistance
+(22-25)% to Chaos Resistance"																							
Suffix	+(24-27)% to Chaos Resistance	"+2% to Maximum Chaos Resistance
+(22-25)% to Chaos Resistance"																							
Suffix	+(6-10)% to Cold Resistance	"+1% to Maximum Cold Resistance
+(11-15)% to Cold Resistance"																							
Suffix	+(11-15)% to Cold Resistance	"+1% to Maximum Cold Resistance
+(16-20)% to Cold Resistance"																							
Suffix	+(16-20)% to Cold Resistance	"+1% to Maximum Cold Resistance
+(21-25)% to Cold Resistance"																							
